prec,flex,resl,team,pmat,rel,data,cplx,ruse,docu,time,stor,pvol,acap,pcap,pcon,apex,plex,ltex,tool,site,sched,kloc,effort,defects,months,cost
3,3,3,4,1,4,3,2,2,2,2,5,3,3,3,2,4,1,1,0,3,2,62,1063,3682,32.8,294.26
3,3,3,4,0,1,3,1,2,2,2,2,2,4,2,2,4,2,2,0,3,2,390,702,30484,45.8,424.63
3,3,3,4,2,4,3,4,2,2,2,5,3,3,3,2,4,3,2,1,3,2,42,605,1803,27.1,283.63
3,3,3,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,3,0,23,230,1271,14.2,172.70
3,3,3,4,0,0,1,4,2,2,2,4,3,2,2,2,3,1,2,0,3,2,13,82,2250,17.2,112.76
3,3,3,4,1,1,2,2,2,2,2,2,1,1,1,2,2,3,3,1,3,2,15,55,1004,15.8,178.66
3,3,3,4,1,1,1,0,2,2,2,3,2,3,3,2,4,2,2,0,3,2,60,47,2883,20.3,361.45
3,3,3,4,2,2,2,3,2,2,2,2,1,4,2,2,3,3,3,1,3,2,15,12,504,13.5,217.13
3,3,3,4,2,2,2,3,2,2,2,2,1,4,4,2,4,2,3,0,3,2,6.2,8,197,9.6,80.59
3,3,3,4,0,2,1,4,2,2,2,2,2,3,1,2,4,2,2,0,3,2,2,8,294,9.5,103.20
3,3,3,4,2,1,1,2,2,2,2,2,1,2,4,2,4,3,3,1,3,2,5.3,6,173,8.7,153.20
3,3,3,4,1,1,2,2,2,2,2,3,1,3,2,2,2,3,3,0,3,2,45.5,45,2645,21.0,155.85
3,3,3,4,1,2,2,2,2,2,2,4,1,3,2,2,2,3,3,0,3,2,28.6,83,1416,18.9,270.39
3,3,3,4,0,1,2,2,2,2,2,4,1,2,2,2,2,3,3,0,3,2,30.6,87,2444,20.5,159.97
3,3,3,4,1,1,2,2,2,2,2,3,1,2,2,2,2,3,3,0,3,2,35,106,2198,20.1,267.83
3,3,3,4,1,1,2,2,2,2,2,3,1,2,3,2,2,3,3,0,3,2,73,126,4188,25.1,99.34
3,3,3,4,0,0,1,4,2,2,2,2,1,4,4,2,4,1,1,0,3,2,23,36,2161,15.6,120.29
3,3,3,4,0,1,1,1,2,2,2,2,1,1,1,2,3,3,3,0,3,2,464,1272,32002,53.4,314.07
3,3,3,4,2,2,2,1,2,2,2,2,2,4,4,2,2,1,2,1,3,2,91,156,2874,22.6,488.83
3,3,3,4,1,3,2,2,2,2,4,4,2,3,3,2,2,1,2,0,3,2,24,176,1541,20.3,270.60
3,3,3,4,0,1,2,2,2,2,2,2,2,1,0,2,2,2,3,0,3,2,10,122,1225,16.2,239.71
3,3,3,4,0,1,1,1,2,2,2,3,3,2,2,2,2,1,1,0,3,2,8.2,41,855,13.1,164.22
3,3,3,4,1,1,1,3,2,2,3,4,4,4,4,2,2,1,1,0,3,1,5.3,14,533,9.3,130.82
3,3,3,4,2,2,1,2,2,2,2,3,3,2,2,2,4,2,3,0,3,2,4.4,20,216,10.6,152.58
3,3,3,4,0,1,1,0,2,2,2,2,1,3,1,2,4,3,3,0,3,2,6.3,18,309,9.6,171.25
3,3,3,4,0,3,1,4,2,2,4,4,2,3,2,2,3,1,1,0,3,1,27,958,3203,21.1,287.60
3,3,3,4,0,2,1,3,2,2,3,4,4,2,2,2,2,1,1,0,3,0,17,237,2622,16.0,142.68
3,3,3,4,2,4,1,4,2,2,5,4,2,4,4,2,4,3,3,0,3,2,25,130,813,20.9,346.23
3,3,3,4,2,2,1,3,2,2,2,3,2,2,2,2,2,2,2,0,3,2,23,70,1294,18.2,289.23
3,3,3,4,0,3,1,4,2,2,3,3,2,3,3,2,1,1,1,0,3,1,6.7,57,650,11.3,58.59
3,3,3,4,2,2,1,3,2,2,2,2,1,3,3,2,2,3,2,0,3,2,28,50,997,16.4,118.68
3,3,3,4,2,1,1,4,2,2,3,4,3,2,4,2,4,0,0,0,3,2,9.1,38,918,15.3,99.96
3,3,3,4,2,2,1,3,2,2,2,2,2,4,3,2,4,2,2,0,3,2,10,15,418,11.6,79.66
